Tanggal	Ranking	Episode	Deskripsi	Penerbit	Bahasa	Rilis
2024-09-02	139	Meraih Pahala Besar dengan Amalan Ringan #1 - Keutamaan Wudhu & Sunnatul Fajar	Meraih Pahala Besar dengan Amalan Ringan  REKENING DONASI DIGITAL DAKWAH  Bank Muamalat, Kode: 147, No. 3010216666, Yayasan Khalid Basalamah (Tanpa Kode Unik) Informasi Donasi: 08111-330-1313  Yuk, jadi bagian dari dakwah kami! Kepada donatur yang ingin ikut berpartisipasi dalam perkembangan kegiatan dakwah Ustadz Khalid Basalamah bersama media digital Gazwah TV dan Sedekah Kreatif.  Kami membuka kesempatan bagi yang ingin menyumbangkan dana atau alat-alat, seperti kamera, laptop, HP, Tripod, dll. Sebagai bentuk sarana amal jariyah serta untuk meningkatkan kualitas gambar dan suara dalam mensyiarkan dakwah sunnah. Bersama kita kembangkan dakwah yang mulia ini dan panen pahala dari menyebarkan ilmu yang bermanfaat, deraskan pahala jariyah yang mengalir untukmu sampai hari kiamat. Barakallahu fiikum.  Akun-akun resmi Ustadz Khalid Basalamah yang terbaru: Website: https://www.khbofficial.com Youtube Channel: https://www.youtube.com/@khalidbasalamah Instagram: https://www.instagram.com/khalidbasalamah TikTok: https://www.tiktok.com/@ustadzkhalidbasalamah Whatsapp: wa.me/6281113305353 Whatsapp Group: https://forms.gle/h8EaGXRu7sTqCpiB7 Facebook Fanpage: https://www.facebook.com/khalidzeedbasalamah Twitter: https://www.twitter.com/ustadzkhalid Telegram Channel: t.me/khalidbasalamahofficial Audio mp3 Soundcloud: https://www.soundcloud.com/khalidzeedbasalamah  Didukung oleh: Youtube Gazwah TV: https://www.youtube.com/@GazwahTVOfficial Youtube Sedekah Kreatif: https://www.youtube.com/@SedekahKreatif Youtube Uhud Tour: https://www.youtube.com/@UhudTour Youtube Ajwad Resto & Store: https://www.youtube.com/@ajwadrestodanstore Youtube Mawaddah Indonesia: https://www.youtube.com/@mawaddahindonesia Instagram Gazwah TV: https://www.instagram.com/gazwah.tv Instagram Sedekah Kreatif: https://www.instagram.com/sedekahkreatif Instagram Uhud Tour: https://www.instagram.com/uhudtour Instagram Ajwad Resto: https://www.instagram.com/ajwadresto Instagram Ajwad Store: https://www.instagram.com/ajwad.store Instagram Mawaddah: https://www.instagram.com/mawaddahindonesia Instagram Pustaka Ibnu Zaid: https://www.instagram.com/pustakaibnuzaid Instagram Adha Farm: https://www.instagram.com/adhafarm Website Gazwah Enterprise: https://www.gazwah.com Website Sedekah Kreatif: https://www.sedekah-kreatif.org Website Uhud Tour: https://www.uhudtour.com Website Ajwad Resto: https://www.ajwad-resto.com Website Ajwad Store: https://www.ajwadstore.com Website Mawaddah: https://www.mawaddahindonesia.com Website Pustaka Ibnu Zaid: https://www.ibnuzaid.com Website Adha Farm: https://www.adhafarm.com	Khalid Basalamah	Bahasa Indonesia	2024-08-15
2024-09-02	140	Ayat ruqiah yang paling ditakuti jin, untuk mengusir jin dan setan dalam tubuh dan ruangan	The most effective prayer to expel demons in the body and room	Didi Utama	Bahasa Indonesia	2023-11-09
2024-09-02	141	Lunch #157 - Exploring New A.I. Creator Economy in 🇮🇩 with Dharma Simorangkir & Anjas Maradita	Faktanya, 92% orang Indonesia sudah menggunakan AI di pekerjaan mereka. Tapi hanya sedikit yang bisa manfaatin tools itu sampai ke tahap menciptakan market mereka sendiri.  Di episode kali ini kita belajar bareng Dharma Simorangkir & Anjas Maradita, gimana caranya bikin produk berbasis AI, yang kalau lo gunain dengan baik dan untuk produktifitas, bisa bantu lo meraih potensi pasar hingga 67% lebih tinggi. This means more time-saving, more cost-saving, more profits, and more efficient.  Langsung aja nonton full episodenya karena banyak banget takeaway case study yang menarik dan lintas profesi. Enjoy the Lunch! ---- Timestamps: 00:00 Opening 01:15 Responsible A.I., Responsible User 04:54 Ngelatih A.I. Pakai Teknik Golden Sample 06:38 Seberapa Efisien Copilot Untuk Content Creator? 09:06 Melindungi Copyright & Regulasi A.I. 11:06 Cara Menaikkan Nilai Jual Barang Dengan A.I. 15:55 Creating New A.I. Economy 21:31 Mulai Belajar A.I. Dari Mana? 26:22 TDOL Podcast Bakal Punya A.I. Assistant? 29:18 Emang A.I. Udah Sejago Apa? 32:42 A.I. For Parenting 36:59 Ada Apa Dengan Insiden Microsoft & CrowdStrike? 38:13 Jadi A.I. Creator yang Punya Growth Mindset 40:21 5 Rekomendasi Tools A.I. 42:38 Closing ---- Follow the updates on:  Thirty Days of Lunch Podcast 👉https://instagram.com/thirtydaysoflunch Fellexandro Ruby 👉 https://instagram.com/fellexandro Ario Pratomo 👉 https://instagram.com/sheggario  #ThirtyDaysOfLunch#UnderdogStory  __ Meet our awesome collaborator:  Pita: https://www.instagram.com/collectionsbypita/ __ 🚀 BACA BUKU BESTSELLER GUA: https://tokopedia.link/Y1mHR51hQwb __ Salam Belajar Berkarya Berbagi	Thirty Days Of Lunch	Bahasa Indonesia	2024-08-29
2024-09-02	142	Percaya Deh Rencana Allah Lebih Baik - Ust Hanan Attaki	Ber-akad kepada Allah dengan hati, Percayakan semua kepada Allah pasti semua akan lebih baik.  ---   Support this podcast: https://podcasters.spotify.com/pod/show/kh-anwar-zahid6/support	KH Anwar Zahid	Bahasa Indonesia	2021-05-02
2024-09-02	143	SAPI WAGYU DILINDUNGI JEPANG, YANG BAWA KELUAR DIPENJARA	 Halo semuanya, selamat datang kembali di channel ordinary storyteller, Detective Aldo. Pada video kali ini kita akan bahas soal daging Wagyu dari Jepang yang harganya mahal banget dan cukup susah buat didapetin. Terus kenapa daging sapi ini bisa beda dari daging-daging lain yang biasa kita makan sehari-hari? Kita bahas sekarang.  Di channel ini teman-teman juga bisa menemukan kisah-kisah lain yang tidak terduga, unik, dan pastinya dari berbagai macam tempat di dunia. Jangan lupa like, subscribe, dan comment kalau kalian suka channel dan video-video ini.  Ada Keperluan Dengan Saya? Silahkan email saya di:  rivaldosantosa@gmail.com  Mau follow instagram saya?  Yuk follow di: @rivaldosantosa ⁠⁠⁠⁠⁠⁠  / rivaldosantosa  ⁠  	Detective Aldo	Bahasa Indonesia	2024-08-31
2024-09-02	144	Nusaibah binti Ka'ab - Singa Merah Perisai Rasulullah	Nusaibah binti Ka'ab adalah seorang wanita Anshar yang ikut sumpah setia kepada Rasulullah. Selain dikenal dengan akhlaknya yang baik, Nusaibah juga memiliki kemampuan perang dan pengobatan yang terampil. Dia juga ikut dalam peperangan bersama Rasulullah. Bahkan dia dijuluki Perisainya Rasulullah. Wah hebat sekali ya? Yuk kita simak kisahnya! 	Educa Studio	Bahasa Indonesia	2024-08-23
2024-09-02	145	PODCAST DONGENG: PELINTAS WAKTU 1	Ada orang misterius datang dari masa depan. Apa dia orang jahat?	Dongeng Box2BoxID	Bahasa Indonesia	2024-09-01
2024-09-02	146	Eps 240 - Billy Milligan Pria Dengan 24 Kepribadian	Leave a comment and share your thoughts: https://open.firstory.me/user/clmexlan200ms01x16n1060ya/comments  Powered by Firstory Hosting	PODCAST KONSPIRASI DAN MISTERI	Bahasa Indonesia	2024-08-30
2024-09-02	147	"YOLO (YOur Life with Ours!) - 195 Breaking Generational ""Curse"""	Pernah denger istilah generational curse? Generational curse adalah pola, perilaku atau masalah negatif yang diyakini diturunkan dari satu generasi ke generasi lain dalam suatu keluarga.   Generational curse ini ada banyak jenisnya loh, termasuk finansial. Yuk coba kita bahas bareng Dave Hendrik, Novita Angie dan Iwet Ramadhan di episode kali ini!	MRA Media	Bahasa Indonesia	2024-08-25
2024-09-02	148	Naik Turun Pesawat Ft. Rais Marasabessy	Sebagai publik figur, airport live adalah sesuatu yang ngga bisa kami hindari. Namanya juga namanya ya kan!	Podcast Ampat	Bahasa Indonesia	2024-08-15
2024-09-02	149	Ekonomi Sulsel Triwulan III-2023 Tumbuh 4,05 Persen | Sandiaga Uno Promosikan Piala Dunia U-17 Di Solo | Inflasi Kabupaten Sumenep Capai 5,29 Persen Pada Oktober 2023	KILAS KABAR NUSANTARA. Sejumlah peristiwa penting yang telah kami rangkum pada hari ini, 13 November 2023.  MAKASSAR(00:35) Ekonomi Sulawesi Selatan mengalami pertumbuhan 4 koma 05 persen secara tahunan atau year on year pada triwulan tiga 2023. Kepala Badan Pusat Statistik (BPS) Sulsel, Aryanto saat memaparkan tingkat pertumbuhan ekonomi Sulsel mengatakan pertumbuhan secara tahunan lebih baik jika membandingkan secara triwulanan.  MANADO(01:55) Kolonel Himawan Teddy Laksono Dandim 1309 Manado, menjemput kedatangan keluarga Bataha Santiago yang baru saja ditetapkan sebagai pahlawan nasional oleh Pemerintah Indonesia.  (03:04) Olly Dondokambey, Gubernur Sulawesi Utara yang juga merupakan ketua DPP PDIP Sulut menyampaikan bahwa dirinya telah menghimbau kepada seluruh jajaran PDIP untuk mematuhi seluruh kebijakan dan aturan yang dikeluarkan oleh Bawaslu sebagai penyelenggara Pemilu, diantaranya menertibkan Alat Peraga Kampanye.  Kontributor :Smart fm Makassar - News Anchor: Deddy Detars ll Reporter: Dian Mega SafitriSmart fm Manado - Edwin  Saran dan kolaborasi: ⁠podcast@kgmedia.id	Medio Podcast by KG Media	Bahasa Indonesia	2023-11-14
2024-09-02	150	Ayat kursi untuk bayi susah tidur - ayat kursi pengantar bayi tidur	36- Ayat kursi untuk bayi susah tidur - ayat kursi pengantar bayi tidur	Bersama kita Istiqomah	Bahasa Indonesia	2020-11-13
2024-09-02	151	Episode 276 DIATAS POHON BERINGIN	Cerita dari : Nafa Konon katanya semakin besar dan tinggi pohon beringin semakin banyak makhluk halusnya. Terlebih jika usianya sudah sangat tua.   Powered by Firstory Hosting	Willy Ardan	Bahasa Indonesia	2024-08-31
2024-09-02	152	Eps 956 - EBEL: VINDES ITU RAJANYA‼️ OM DED MAH CUIIIHH🤣‼️ (Ft. Ebel & Ummi Quary)	 PODHUB bersama Ebel & Ummi Quary	Deddy Corbuzier	Bahasa Indonesia	2024-08-27
2024-09-02	153	Gebyar Gebyar Pitulasan	Sekali merdeka, tetap merdeka! 🇮🇩  _________ Support Mandan Kenthir: https://saweria.co/podcastmandankenthir 	Mandan Kenthir	Bahasa Indonesia	2024-08-12
2024-09-02	154	RUMAH ROMBE|| BAGIAN 2	SUMBER KISAH: SIMPLEMAN   Tinggalkan komentar dan berikan pendapatmu: https://open.firstory.me/user/clhkbe0z1049r01xob569atao/comments  Powered by Firstory Hosting	INDONESIAN HORROR STORY	Bahasa Indonesia	2024-08-29
2024-09-02	155	Rakyat Turun Ke Jalan, Menuntut Perubahan	Episode spesial membahas perjalanan Mamat dan Cania di demonstrasi 22 Agustus 2024Ada Noicer dan Cania-Mania yang ikut turun juga? Coba ceritain pengalamannya!    Dengarkan episode lainnya dari Podcast Ruang 28 di aplikasi NOICE. Download NOICE di sini!	NOICE	Bahasa Indonesia	2024-08-31
2024-09-02	156	ROMBONGAN TANPA KEPALA !!!	Tinggalkan komentar dan berikan pendapatmu: https://open.firstory.me/user/clhkbe0z1049r01xob569atao/comments  #NIGHTSTORY #podcasthoror #CHOWSINGSING  Buat Kalian Yang Mau Traktir Saya Kemenyan, Monggo: https://saweria.co/Chowsing  Noice  : https://noiceid.onelink.me/cyOg/fh4m7ljr Spotify: https://open.spotify.com/show/5M3mfPOJQKBILzoYUrxC7Q  Instagram: https://www.instagram.com/podcast_nighstory/  NIGHT STORY merupakan channel kumpulan cerita horor yang dikuratori oleh @Chow_singsing ---------------------------------------------------------------------------------------------------------- Kamu punya cerita yang ingin kamu share?   Kirimkan rekaman audio atau tulisan kamu dan nama akun medsos mu ke komunitasarwah@gmail.com   Podcast; Noice  : https://noiceid.onelink.me/cyOg/fh4m7ljr Spotify: https://open.spotify.com/show/5M3mfPOJQKBILzoYUrxC7Q Instagram: https://www.instagram.com/podcast_nighstory/                                        Terima kasih atas perhatiannya.  Powered by Firstory Hosting	INDONESIAN HORROR STORY	Bahasa Indonesia	2024-08-18
2024-09-02	157	"Christ ""Joki Burung Kicau"""	Susah emang nih bahas perburungan bareng Onad Hesti! Bawaannya bahas burung yang lain. Setiap orang punya cerita dari berbagai profesi. Ngobrol seru bareng Onad dan Hesti.    Dengarkan episode lainnya dari Podcast Onad Hesti Meet Everybody di aplikasi NOICE. Download NOICE di sini!  	NOICE	Bahasa Indonesia	2024-09-01
2024-09-02	158	BELANDA, BOTAK, TAPI BUKAN TEN HAG | Box2Box Football Show #4	- Magis Ten Hag habis, fan pesimistis?  - Man City dan Arsenal tampil nyaman  - Liverpool ganti pelatih tapi tetap masih cocok  - Ekspektasi buat Vincent Kompany di Bayern München  - Juventus dan Barcelona lebih percaya diri  Masih sambil mengawal terus Peringatan Darurat dan demokrasi Indonesia sambil nonton episode keempat bersama Dex Glenniza, Jerry Arvino, Rossi Finza, dan Tio Utomo. Jangan lupa like, share, dan subscribe!  	Box2BoxID	Bahasa Indonesia	2024-08-27
2024-09-02	159	SAYA PENGEN KERJA DI AMERIKA JUGA!	Sebuah nasehat	WORK LIFE TRAMPOLINE	Bahasa Indonesia	2024-08-26
2024-09-02	160	RELAX MUSIC FOR BABIES	Best Choice Relaxing Music For Your Baby. Making your baby quiet and calm, and make your baby sleep tight.  ---   Support this podcast: https://podcasters.spotify.com/pod/show/dadson-official/support	Dadson Official Podcast	Bahasa Indonesia	2020-12-10
2024-09-02	161	KH ZAENUDIN MZ - ORANG MISKIN YANG.....	KH ZAENUDIN MZ - ORANG MISKIN YANG.....  ---   Support this podcast: https://podcasters.spotify.com/pod/show/kh--zainuddin-mz/support	K.H. ZAINUDDIN MZ	Bahasa Indonesia	2020-09-22
2024-09-02	162	#169 Menakar Target Ekonomi Kabinet Jumbo Prabowo	Dalam RAPBN 2025, pemerintah dan DPR menyepakati sejumlah asumsi dasar makro mulai dari target inflasi 2,5% hingga pertumbuhan ekonomi di level 5,2%. Ekonom Indef, Esther Sri Astuti berbagi pandangannya mengenai postur APBN yang baru tersebut, termasuk bagaimana kabinet baru nanti menjalankannya. Formasi kabinet Prabowo yang cukup gemuk dengan banyaknya tambahan jabatan baru juga jadi sorotan.	detikcom	Bahasa Indonesia	2024-08-28
2024-09-02	163	Putri Angsa Volume 2 | Dongeng Anak Bahasa Indonesia	Hidup Putri Ivanna kini berubah. Ia menjadi penggembala angsa di sebuah istana, sedangkan Tilly menjadi seorang Putri kerajaan. Namun, Pangeran Baden merasa ganjil ketika ia tak sengaja mendengar Putri Ivanna bernyanyi lagu kerajaan. Akankah Putri Ivanna bisa kembali ke istananya dan hidup sebagai Putri kembali? Ikuti kelanjutan ceritanya yuk! 	Educa Studio	Bahasa Indonesia	2024-08-22
2024-09-02	164	Eps 61: Emosi Karena Keganggu Hal Gak Penting	Kuli ngeganggu meeting kok malah di todong pistol?! Todongin kopi sama rokok noh biar anteng. Emang bikin Remin sama Molan puyeng dah kalo ada orang kayak gini.  Dengarkan episode lainnya dari Podcast Kagak Abis Pikir di aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠di sini!    	NOICE	Bahasa Indonesia	2024-08-31
2024-09-02	165	INI DIA RAJA JAWA YG SEBENARNYA!	Traktir Kita Kopi https://saweria.co/KonspirasiNgopi • Youtube Channel https://www.youtube.com/channel/UCijqO7C5abbzCSyUipFDxVw • Tiktok https://vt.tiktok.com/ZSLPjr63g/ • Instagram https://www.instagram.com/konspirasingopi _ _ _  Presiden RI harus kawin dengan Nyi Roro Kidul? https://www.liputan6.com/islami/read/5488984/kemenangan-pilpres-dikaitkan-dengan-nyi-roro-kidul-bagaimana-pandangan-buya-yahya • peta wilayah kekuasaan mongol kekaisaran terbesar kedua dalam sejarah https://www.kompas.com/stori/read/2021/08/02/120000179/kekaisaran-mongol-kekaisaran-terbesar-kedua-dalam-sejarah?page=all • Luas Wilayah Ibukota Kerajaan Majapahit https://radarmojokerto.jawapos.com/sejarah-mojopedia/823875768/luas-ibu-kota-majapahit-capai-51-desa#:~:text=Ibu%20Kota%20Kerajaan%20Majapahit%20juga,dengan%20yoni%20di%20empat%20sudut  Powered by Firstory Hosting	Konspirasi Ngopi	Bahasa Indonesia	2024-08-26
2024-09-02	166	kita selesai, ya?	gimana caranya pergi untuk ketemu orang baru sementara yang aku mau ... masih dia?	Firdhani Zihan	Bahasa Indonesia	2022-06-28
2024-09-02	167	Lebih dari Sekadar Kata: Rahasia Komunikasi Non-Verbal yang Efektif	"Kali ini, saya akan membahas ""Lebih dari Sekadar Kata: Rahasia Komunikasi Non-Verbal yang Efektif."" Komunikasi non-verbal memainkan peran penting dalam menyampaikan pesan yang mendalam, sering kali lebih kuat dari kata-kata itu sendiri. Temukan rahasia komunikasi efektif dengan memahami bagaimana ekspresi wajah, postur tubuh, dan gerakan tangan dapat memperkuat pesan. Saya juga akan memberikan contoh komunikasi non-verbal yang efektif yang bisa kamu terapkan dalam kehidupan sehari-hari, baik dalam situasi profesional maupun personal. Dengan menguasai rahasia komunikasi ini, kamu bisa menjadi komunikator yang lebih efektif dan berpengaruh. #RahasiaKomunikasi #RahasiaKomunikasiEfektif #KomunikasiEfektif #KomunikasiNonVerbal #ContohKomunikasiNonVerbal #KomunikasiNonVerbalYangEfektif  Leave a comment and share your thoughts: https://open.firstory.me/user/clhb6d0v60kms01w226gw80p4/comments  Powered by Firstory Hosting"	Si Kutu Buku	Bahasa Indonesia	2024-08-30
2024-09-02	168	Dzikir Penenang Hati dan Pikiran yang Sedang Stress, Galau, dan Gelisah	17- Dzikir Penenang Hati dan Pikiran yang Sedang Stress, Galau, dan Gelisah	Bersama kita Istiqomah	Bahasa Indonesia	2020-09-29
2024-09-02	169	Murottal Merdu JUZ 30 FULL ( SYAIKH MISYARI RASHID )	Murottal Merdu JUZ 30 FULL ( SYAIKH MISYARI RASHID )  ---   Support this podcast: https://podcasters.spotify.com/pod/show/gasa-al-fajr/support	Ega Saputra	Bahasa Indonesia	2020-09-27
2024-09-02	170	GUS BAHA - HIDUP ITU SEBENARNYA APA?	GUS BAHA - HIDUP ITU SEBENARNYA APA?  ---   Support this podcast: https://podcasters.spotify.com/pod/show/gus-baha/support	Gus Baha	Bahasa Indonesia	2020-10-12
2024-09-02	171	DOA REZEKI MELIMPAH RUAH DAN BEBAS HUTANG PIUTANG	DUA TO GET FINANCIAL FREEDOM & SUSTENANCE OF RIZQ	Didi Utama	Bahasa Indonesia	2022-06-23
2024-09-02	172	Wayang Golek Dalang Asep Sunandar (alm) - Cepot dan Semar	Merawat Seni Budaya Pasundan. Agar tidak kehilangan jati diri parahiayangan, agar generasi selanjutnya teu pareumeun obor (tidak kehilngan jejak budayanya) 	Anterin Bandung	Bahasa Indonesia	2020-03-16
2024-09-02	173	Psychology of Money! (Bahasa Indonesia)	Siapa yg masih percaya kelola duit berhubungan sama tingkat pendidikan? Yuk coba dengerin buku ini.	Chrissen Dharmawan	Bahasa Indonesia	2022-02-17
2024-09-02	174	Eps.142 - Tujuh Nyawa Melayang !! Tumbal Kos Jaktim	Mba Riska yang pada saat itu ada di lokasi kejadian dan kehilangan seorang teman dekatnya di kost tersebut, ia terpaksa menyewa kamar kost bersama teman dekatnya tersebut dikarenakan rumahnya yang jauh, satu bulan tinggal di kost tersebut, Riska dan temannya mulai menyadari bahwa banyak kejanggalan yang terjadi di kost tersebut, teror demi teror ia alami bersama penghuni kost lainnya sampai akhirnya ia harus kehilangan sahabatnya tersebut, kejadian mengerikan tidak berhenti sampai disitu saja.. itu hanya awal dari banyaknya cerita mengerikan yang terjadi disana..  Follow Instagram Kita : 👇 👇 https://www.instagram.com/loncengmystery  Powered by Firstory Hosting	Lonceng Mystery	Bahasa Indonesia	2024-08-09
2024-09-02	175	mariadi tak potokopi full	credit : CEMET.MP4	séan 	Bahasa Indonesia	2023-11-19
2024-09-02	176	Misteri Lukisan Wajah di Lantai | Dongeng Anak Bahasa Indonesia	Seorang ibu sedang duduk di kursi goyangnya seusai menikmati makan malam bersama keluarga. Saat itu, kedua matanya tertuju pada sebuah noda yang terlihat di lantai dapur. Namun, saat si ibu membersihkan noda itu, ada hal ganjil yang terjadi. Noda itu sangat sulit dihilangkan, bahkan noda itu semakin besar dan menyerupai wajah manusia! Ingin tahu bagaimana cerita lengkapnya? Yuk, kita simak cerita ini hingga selesai!  	Educa Studio	Bahasa Indonesia	2024-07-26
2024-09-02	177	VILA BERHANTU DI MALANG	Waktu itu kami berenam berniat pergi ke kota Batu, Malang untuk mengisi waktu libur akhir pekan setelah beberapa hari sebelumnya disibukkan oleh pekerjaan, di sana kami menyewa sebuah vila yang terletak di kaki gunung Arjuno, tapi vila yang kami tempati itu ternyata dihuni oleh makhluk lain yang menyerupai salah satu teman kami.  Powered by Firstory Hosting	Fidi Muhammad	Bahasa Indonesia	2024-08-17
2024-09-02	178	197 TRAGEDI BERDARAH 3 SAHABAT MENJEMPUT MAUT	==============================================================================  Untuk teman-teman semua jika mempunyai cerita atau pengalaman Horornya saat di gunung atau dimanapun dan ingin berbagi ceritanya langsung, bisa hubungi team via Email : ngopihoror@gmail.com  Instagram : officialsumaradiwijaya Youtube : Sumar Adi Wijaya   Copyright 2024, Sumar Adi Wijaya  	Sumar Adi Wijaya	Bahasa Indonesia	2024-08-27
2024-09-02	179	"Maliq & Refal ""Tattoo Artist"""	“Mas saya mau tato gambar bulu dada bisa?” Ada-ada aje emang kelakuan salah satu customer Maliq & Refal yang ternyata orang asli India! No bulu dada no pride!. Setiap orang punya cerita dari berbagai profesi. Ngobrol seru bareng Onad dan Hesti    Dengarkan episode lainnya dari Podcast Onad Hesti Meet Everybody di aplikasi NOICE. Download NOICE di sini! 	NOICE	Bahasa Indonesia	2024-08-29
2024-09-02	180	Surah Al Baqarah 284-286	kandungan makna yang dimiliki dalam ayat 284 hingga 286 surah ini, adalah sebagai berikut:  1. Allah Maha Mengetahui segala yang dilakukan manusia baik yang terang-terangan atau hanya dalam hati  2. Allah Maha Kuasa, sehingga akan mengganjar orang yang salih dan mengazab yang berbuat maksiat  3. Kitab suci Al-Qur'an diturunkan kepada Nabi Muhammad. Orang beriman percaya adanya Allah, Rasul, kitab suci dan para rasul Allah.                  Akurat.co  ---   Support this podcast: https://podcasters.spotify.com/pod/show/sunnahvibes/support	Sunnah Vibes	Bahasa Indonesia	2020-12-19
2024-09-02	181	10. Frozen	Kisah tentang seorang putri yang tak kenal takut bernama Anna yang melakukan perjalanan bersama tukang es yang kasar, rusa yang setia, dan manusia salju yang naif untuk menemukan saudara perempuannya Elsa yang terasing, yang kekuatan esnya secara tidak sengaja telah menjebak kerajaan mereka di musim dingin yang abadi. Dengarkan, tenangkan pikiran kalian, and good night!   Powered by Firstory Hosting	Jeihan Saviera	Bahasa Indonesia	2024-06-25
2024-09-02	182	PELAJARAN 01	Beginer  ---   Support this podcast: https://podcasters.spotify.com/pod/show/belajarbahasainggris/support	JAGO BELAJAR BAHASA INGGRIS	Bahasa Indonesia	2020-06-03
2024-09-02	183	Ustadz Adi Hidayat - Kunci Ketenangan & Ketentraman Hidup (Episode #163)	Ustadz Adi Hidayat - Kunci Ketenangan & Ketentraman Hidup (Episode #163)	Invoice Andesti	Bahasa Indonesia	2020-10-06
2024-09-02	184	121. Asal Usul Alat Musik Cinta - Eskul Kolintang SMP & Panada - JF #GakKenaMental	Suatu saat, aku dan teman kelompok kolintang ikut lomba di Taman Mini Indonesia Indah (TMII). Di sana ada booth Manado yang menjual Panada, yang menjadi harta karunku saat itu.Biar kamu #GakKenaMental karena jerawat, kunjungi #http://jftheskinspecialist.com/ Hosted on Acast. See acast.com/privacy for more information.	Irene Evita & Kukila	Bahasa Indonesia	2024-04-15
2024-09-02	185	Musuh Masyarakat | Eps 11: Budaya & Tradisi Indonesia Tidak Perlu Dilestarikan	Dimana Onad?  ---   Suka dengerin Musuh Masyarakat? Dengerin yuk selengkapnya di sini  ⁠https://bit.ly/Musuh_Masyarakat  	NOICE	Bahasa Indonesia	2022-09-26
2024-09-02	186	Doa Agar Selamat Dunia dan Akhirat, Kebahagian Menanti	Prayer for a safe world and the hereafter	Didi Utama	Bahasa Indonesia	2023-11-10
2024-09-02	187	Pejuang Demokrasi 	Eps.29 | Panjang umur perjuangan - kalo mau support bisa lewat sini : https://saweria.co/TaukoPodcast	Bonar Manalu, Rizky Teguh	Bahasa Indonesia	2024-08-25
2024-09-02	188	Episode 92 - Belajar mengenal diri sendiri!	Feeling lost in life adalah pengalaman yang mungkin akan dirasakan kebanyakan orang ketika kita kurang mengenal diri sendiri. Ditambah lagi dengan distraksi diluar sana yang menjauhkan kita dari mengenal siapa diri ktia sendiri. Episode ini akan bercerita tentang proses bagaimana menemukan jati diri berdasarkan pengalaman pribadi. Enjoy the conversation!  	Kuru Podcast	Bahasa Indonesia	2024-08-30
2024-09-02	189	VIDEO SKETSA Mak Beti | Eps 32 : Akhirnya Mak Beti Liburan	  	Spotify Studios	Bahasa Indonesia	2022-12-29
2024-09-02	190	S8E44: Kalau dia datang lagi, jangan buka pintu hati	Selamat mendengarkan dan selamat tidur! Kirim cerita: www.temantidur.id   Instagram: podcast.temantidur TikTok: podcast.temantidur  Salyra Perfume: https://shopee.co.id/salyra.perfume 	Dera Firmansyah	Bahasa Indonesia	2024-08-10
2024-09-02	191	Paling Lucu KH ANWAR ZAHID	Di Episode Perdana Ini kh anwar zahid sangat lucu	Riza Productions	Bahasa Indonesia	2022-12-01
2024-09-02	192	Episode 275 SIAPA DI CERMIN?	Cerita dari : Hamdah Alfiyah Dalam Feng Shui diyakini tata letak cermin dalam kamar tidur sangat berpengaruh. Cermin yang langsung berhadapan dengan tempat tidur bisa membawa hal-hal buruk dan bisa menghabiskan energi kita saat tidur.   Powered by Firstory Hosting	Willy Ardan	Bahasa Indonesia	2024-08-29
2024-09-02	193	Fashion Pemuda Pemudi di Delanggu (Sigit Haryoseno)	Pengen tau kiblat fashion di Delanggu dan tempat-tempat prostitusi? Monggo dengerin sampe habis.  Dengerin episode lainnya dari Podcast Cerita Kampung Halaman di Aplikasi NOICE. Download NOICE ⁠⁠⁠⁠⁠⁠⁠di sini!⁠	NOICE	Bahasa Indonesia	2024-08-29
2024-09-02	194	Cerita Marlo Pergi ke Negeri Ginseng - Sruput Nendang S8 E16	Meramaikan acara tapi...... bingung... 	Marlo Ernesto & Marco Parama	Bahasa Indonesia	2024-08-17
2024-09-02	195	Musuh Masyarakat | Eps 10: Kami Setuju Aliran Sesat	Hari gini nyembah BACON?? Blok.  ---   Suka dengerin Musuh Masyarakat? Dengerin yuk selengkapnya di sini  ⁠https://bit.ly/Musuh_Masyarakat  	NOICE	Bahasa Indonesia	2022-09-25
2024-09-02	196	Ngaguar Elmu Tauhid- Wayang Golek Asep Sunandar	Ngaguar elmu tauhid ku Dalang Abah Asep Sunandar Sunarya,  Mugia urang kageuing yen urang teh masih bodo, sangkan terus diajar. Mugia kacandak Elmu Tauhidna tina ieu Podcast. Hatur Nuhun 🙏	Alief19	Bahasa Indonesia	2020-07-15
2024-09-02	197	[M4F] 'Don't make Daddy angry'	creds ☆ ; daddysounds	B0N3S	English	2024-08-13
2024-09-02	198	614. 3 Tips konsisten sampai dapat tujuanmu	"Spesial diskon 50% Ebook Quarter Life Crisis Playbook!🥳  Cara mendapatkan ebook nya disini 👇🏻 1. Masuk ke selfdev.id/merdeka 2. Klik ""Dapatkan sekarang"" 3. Isi data nama, no wa, dan email 4. Pilih metode pembayaran 5. *Masukan kode voucher yaitu merdeka (kecil semua)* 6. Klik ""Selesaikan Pembayaran"" 7. Selesaikan pembayaran Anda. 8. Jika sudah, cek email notifikasimu. Di sana kamu bisa dapatkan link akses ke platform yang kami gunakan dan dapatkan ebook nya di sana!  More info: 08158133373 (Growmin)"	Andreas Bordes	Bahasa Indonesia	2024-08-20
